run,ms
1,4808.299
2,4777.99
3,4747.554
4,4775.426
5,4764.229
6,4780.549
7,4758.996
8,4787.096
9,4699.634
10,4735.616
11,4773.05
12,4704.42
13,4791.106
14,4716.125
15,4693.477
16,4764.518
17,4750.584
18,4788.489
19,4734.192
20,4770.941
