run,ms
1,473.019
2,514.148
3,490.085
4,494.792
5,473.119
6,521.904
7,549.357
8,474.277
9,498.782
10,524.237
11,502.077
12,472.297
13,511.794
14,514.093
15,486.372
16,555.935
17,525.779
18,504.094
19,511.574
20,514.101
