run,t_ms
1,2460.483
2,2409.890
3,2461.407
4,2402.407
5,2443.431
6,2438.998
7,2456.307
8,2438.801
9,2519.640
10,2511.048
11,2464.803
12,2444.328
13,2419.857
14,2379.397
15,2404.226
16,2360.123
17,2383.562
18,2367.990
19,2376.945
20,2405.283
