run,t_ms
1,498.152
2,476.811
3,490.595
4,469.757
5,500.477
6,480.245
7,493.350
8,477.799
9,489.177
10,479.002
11,487.624
12,480.282
13,481.135
14,488.488
15,481.928
16,472.437
17,480.466
18,491.944
19,494.342
20,494.645
